idProduccion;Clasificacion_Produccion;Tipo_Produccion;Validacion_Produccion;N_Registro_Produccion;Descripcion_Produccion;Nombre_Produccion;Informacion_Adicional_Produccion;Autores_Produccion;Col_Grupo_Codigo_GrupLAC
24;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;Si;24 ;Publicado en revista especializada ;Prototipado rápido por extrusión de una pasta cerámica en un proceso similar al prototipado por FDM ;Colombia, (2011-2416) 4 Revista De Investigación Interdisciplinaria Mejoramiento Continuado De Procesos Y Métodos De Diseño ,Manufactura Y Automatización ISSN: 2011-2416, 2007 vol:1 fasc: NA págs: 20 - 26, DOI: ;EDGAR DELGADO MEJIA, EDWIN GUEVARA, ;nro=00000000000724;
25;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;Si;25 ;Publicado en revista especializada ;Oxidación parcial de metano a formaldehido sobre catalizadores MoO3, Fe2O3 y ferromolibdeno ;Colombia, Ingeniería E Investigación ISSN: 0120-5609, 2007 vol:27 fasc: 1 págs: 19 - 24, DOI: ;CARLOS ALBERTO GUERRERO FAJARDO, FRANCISCO SANCHEZ, DANIEL DEL RIO, GUSTAVO DURAN, ALVARO ORJUELA LONDONO, ALVARO ORJUELA, ;nro=00000000000724;
26;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;Si;26 ;Publicado en revista especializada ;Methane selective oxidation to formaldehyde with Fe-catalysts supported on silica or incorporated into the support ;Estados Unidos, Catalysis Communications ISSN: 1566-7367, 2007 vol:9 fasc: 5 págs: 864 - 869, DOI:http://www.journals.elsevier.com/catalysis-communications/ ;CARLOS ALBERTO GUERRERO FAJARDO, YVONNE NGUYEN, CLAIRE COURSON, ANNE CECILE ROGER, DANIEL NIZNANSKY, ;nro=00000000000724;
27;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;No;27 ;Publicado en revista especializada ;Desarrollo de Prototipos de Plantilla y Suela Utilizando Prototipado Rápido FDM ;Colombia, (2011-2416) 4 Revista De Investigación Interdisciplinaria Mejoramiento Continuado De Procesos Y Métodos De Diseño ,Manufactura Y Automatización ISSN: 2011-2416, 2007 vol: fasc: págs: 79 - 89, DOI: ;FREDDY SANTIAGO CARO DIAZ, CAMILO MEJIA MONCAYO, ;nro=00000000000724;
28;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;Si;28 ;Publicado en revista especializada ;Manufactura y Automatización ;Colombia, Ingeniería E Investigación ISSN: 0120-5609, 2006 vol:26 fasc: 3 págs: 121 - 128, DOI: ;ERNESTO CORDOBA NIETO, ;nro=00000000000724;
29;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;Si;29 ;Publicado en revista especializada ;Catalizadores Fe/SiO2 para la oxidacion selectiva de metano hasta formaldehido ;Colombia, Ingeniería E Investigación ISSN: 0120-5609, 2006 vol:26 fasc: 2 págs: 37 - 44, DOI: ;CARLOS ALBERTO GUERRERO FAJARDO, YVONNE NGUYEN, CLAIRE COURSON, ANNE CECILE ROGER, ;nro=00000000000724;
30;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;Si;30 ;Publicado en revista especializada ;Manejo de la salinidad en aguas asociadas de produccion de la industria petrolera ;Colombia, Ingeniería E Investigación ISSN: 0120-5609, 2005 vol:25 fasc: 3 págs: 27 - 33, DOI: ;CARLOS ALBERTO GUERRERO FAJARDO, DIEGO RAMIREZ, SANDRA ESCOBAR, ;nro=00000000000724;
31;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;Si;31 ;Publicado en revista especializada ;Optimización de la geometría de un eje aplicando algoritmos genéticos ;Colombia, Ingeniería E Investigación ISSN: 0120-5609, 2005 vol:25 fasc: 2 págs: 15 - 23, DOI: ;MARIA ALEJANDRA GUZMAN PARDO, JESUS ALBERTO DELGADO RIVERA, ;nro=00000000000724;
32;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;Si;32 ;Publicado en revista especializada ;Inicio del proceso de automatización utilizando tecnología de grupos ;Colombia, Ingeniería E Investigación ISSN: 0120-5609, 2004 vol:24 fasc: 3 págs: 14 - 20, DOI: ;ERNESTO CORDOBA NIETO, JORGE ANDRES GARCIA BARBOSA, ;nro=00000000000724;
33;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;Si;33 ;Publicado en revista especializada ;Calidad superficial en el prototipado rápido, proceso FDM ;Colombia, Ingeniería E Investigación ISSN: 0120-5609, 2004 vol:24 fasc: 3 págs: 28 - 32, DOI: ;ERNESTO CORDOBA NIETO, LIZANDRO VARGAS HERIQUEZ, ;nro=00000000000724;
